storyID,story,flag
c3d15394-2420-4620-a5f3-6f595cbc50e8,"['Rob was upset about some things the city council was doing.', ""Rob was against them instituting permit parking on Rob's street."", 'Rob organized a petition and collected numerous signatures.', 'Rob also spoke at several city council meetings.', 'Thankfully, Rob was able to prevent the measure from being implemented.']",1
385a6bf0-4b4d-40a3-87ea-259531f16b79,"['Sam saw his brother Barry eating a peanut butter and banana sandwich.', 'Sam thought it was the grossest thing Sam ever saw.', 'Barry told Sam to try it himself, but Sam refused.', 'After many weeks, Sam reluctantly agreed to take a bite.', 'Sam now eats peanut butter and banana sandwiches every week.']",1
46e35369-7a26-44c2-a5f1-f5d7164e9070,"['Cindy loves her coworkers but has never attended happy hour with them.', 'Cindy is afraid it is unprofessional to drink with coworkers.', ""One day Cindy's best friend at work convinces Cindy to come along."", ""Cindy goes to happy hour with her coworkers and Cindy's coworkers all drink beer."", ""Cindy is very pleased that Cindy joined happy hour with Cindy's coworkers.""]",1
de4dbb2f-3a01-4bc0-8941-a259e36c51bb,"['Larry awakes one night to a sound.', 'Larry gets up to see if anyone is around.', 'Larry goes down the stairs into the kitchen.', ""Larry see's no one just Larry's family kitten."", 'Larry heads back to bed and rests easily.']",1
2a512a7a-7cc5-4830-abf4-441a9ebc457e,"['Ronald was taking intro to Anatomy.', 'Ronald was grouped with three beautiful women.', ""Ronald had no idea what to really expect being sheltered all Ronald's life."", ""Ronald's face turned bright red as soon as the teacher started speaking."", 'The group giggled but Ronald learned quite a few things.']",1
a55b3c20-203c-450f-84a9-0ed92e2c1e55,"['Laney hated her job.', ""Laney's boss was rude and mistreated Laney."", 'The work was hard and the pay was low.', 'Finally, one day Laney just quit.', 'Laney was glad Laney stood up for Laney.']",1
da17b67c-8650-4a82-9c74-457d568007da,"['Jen wanted a new bag.', 'The one Jen wanted was too expensive.', 'Jen decided to save up.', 'Jen also took on extra hours.', 'Jen was happy when Jen was able to buy the bag.']",1
702d6e04-e2d8-4623-b112-22e8d16805fb,"['Ray was looking for a birthday present for his mom.', 'Ray knew his mom had a new interest in fitness and exercise.', 'Ray asked a fitness instructor and the instructor recommended Fitbit.', 'Ray went out and bought the Fitbit.', ""Ray's mom was really surprised and happy with the Fitbit Ray bought.""]",1
16a30513-2148-4455-880b-44b665a745d2,"['Emily wanted to make chocolate chip cookies.', 'Emily went to the store to purchase the ingredients.', 'Once home, Emily mixed everything together.', 'Emily wanted to sample the dough but waited until the cookies were done.', 'Emily had three cookies that night with a glass of milk.']",1
fb95007c-5914-4bd0-9204-020bdd001df8,"['Paul woke up and began to make his coffee.', ""Paul hadn't realized, but Paul accidently poured in salt instead of sugar."", ""Paul didn't take a sip until Paul was on Paul's way to work."", 'Paul threw the coffee out of the window.', 'Paul stopped and got another cup of coffee on the way to work.']",1
34a5df61-23f7-440a-96e7-508bb69c5688,"['Kelly got her nails done.', 'Kelly went to the local salon.', 'Kelly got them painted red.', ""The only bad thing was that one of Kelly's broke."", 'Kelly was so upset.']",1
6bdc913c-59d1-470e-a865-d2c85d0897a4,"['Emma fell in love with Paul.', ""Paul didn't feel the same for Emma and rejected Emma."", ""Emma's feelings were hurt, so Emma told the authorities."", ""Emma felt even worse when the authorities wouldn't listen."", ""Emma walked under a mattress for a year to show everyone Emma's feelings.""]",1
70cb1895-c5d3-4c6a-902a-c37493f83cff,"['Phil worked his way up from cook to general manager.', 'When the owner retired, Phil sold the place to Phil.', ""Phil found it difficult, running Phil's business."", 'There were times Phil wished Phil was still just an employee.', 'Phil kept at it and the place was more popular than before.']",1
bb39c84f-9211-466b-a21a-69f16167e79d,"[""Ruth's neighbor was religious."", ""Ruth's neighbor invited Ruth over for a bible study."", 'Ruth reluctantly agreed.', 'Ruth and her neighbor read several passages and discussed them.', 'When Ruth and her neighbor were done, Ruth went home.']",1
87ed9e37-a44e-40d8-af00-5942df86e2e1,"['Stan styled his hair like a popular singer.', 'Stan loved it when girls remarked on the resemblance.', 'One day, news broke about the popular singer in an embarrassing scandal.', 'Stan looked at himself in the mirror.', ""Then Stan got out a razor and shaved off Stan's hair.""]",1
828285c3-525e-4c39-a159-2f6f0ca19063,"['Dan dreaded doing back to school shopping with his kids.', 'However, Dan had to purchase new backpacks and shoes for Emma and Jack.', 'Dan decided to go to the mall to get the school shopping done.', ""After looking through several stores, Dan didn't find anything."", 'Dan was disappointed that Dan did not find anything at the mall.']",1
50d3bb8c-b55d-407c-94fe-e84a25a6218a,"['Gabe rode his bike to school each morning.', 'One morning Gabe fell off his bike.', ""Gabe sprained Gabe's ankle."", ""A neighbor found Gabe and called Gabe's mother."", ""Gabe's mother picked Gabe up and brought Gabe to the doctor.""]",1
018cc08a-3902-4ebe-9da9-fac862431f96,"['Anita browsed the aisles of the local candy store.', ""There was a container of gummy bears that caught Anita's eye."", ""Anita hesitated, then discreetly put a handful in Anita's pocket."", 'The shopkeeper noticed Anita and glared.', ""Anita never felt so guilty in Anita's life.""]",1
98fd0223-ea20-4bfb-b291-2fa848410a81,"['Cal shuffled into his kitchen to make a pot of coffee.', 'Cal changed the filter and put the new ground coffee in.', 'Cal turned on the coffee machine and went to use the bathroom.', 'Cal heard a tremendous cracking sound from the kitchen!', ""Cal'd forgotten to add the water so the carafe had heated up and broke!""]",1
ab885d0a-2c22-471c-a46f-a7a4cf49859a,"['John wanted to take Sue to dinner.', 'John finally got the nerve to ask Sue out.', 'John called and asked Sue to dinner.', 'John and Sue decided on a restaurant.', 'John and Sue had an enjoyable evening.']",1
40f7d3bc-a1bd-42a4-8002-43abaf623a89,"['Sam ran out of gas.', 'Sam was also wanting a drink.', 'Sam only had enough money for either beer or gasoline.', 'Sam decided to get the gasoline and wait on the beer.', 'It was a smart choice and Sam was proud of himself.']",1
b42a2c11-a4ea-4693-8adf-4488868a6b53,"['Ashley bought a dogsled.', 'Ashley wanted to test it out.', 'Ashley went outside in the snow.', 'Ashley climbed to the top of a hill.', 'Ashley then rode it to the bottom.']",1
bac21b98-24a4-47ae-a299-afb2e1c7d4ca,"['Bill was looking forward to his paid time off vacation.', 'Bill knew Bill had worked hard for that vacation.', 'Bill proudly submitted the request after never missing a day of work.', 'Bill was denied by his manager.', 'Bill left the company soon after.']",1
28ae0b08-28e0-42ac-b197-4b4c8921bde1,"['Tim had to clean the basement.', ""Tim's parents told Tim to."", 'Tim was very angry.', 'Tim thought the day would be ruined.', ""However Tim ended up finding Tim's favorite football in the basement.""]",1
d79a3ef5-4bb0-413a-9d79-d1049366d32e,"['Rose donned her blue bikini.', 'It was much smaller than Rose remembered it being.', 'Or Rose was much larger than Rose had been.', 'It covered what Rose needed covering, though.', 'Rose ran out through the snow and jumped into the hot tub.']",1
5d47dd3e-7a41-4ae5-babe-6aa94569985f,"['John had never raced cars professionally before.', 'John was excited for his first race.', ""John didn't come close to winning."", 'John was just glad John got all the way through it.', 'John knew it was a good first step and continued.']",1
5bd0d3c6-3f81-4c31-8ad8-5bbb46f60070,"[""It was Rainer's first time seeing snow."", 'Rainer was very excited even though Rainer was cold.', 'Rainer lay down in the snow with her mom.', 'Rainer moved her arms and legs up and down like her mom showed her.', 'Rainer thought the snow angels Rainer and her mom made were beautiful.']",1
602a0ae8-cca3-4369-93e9-f0a3c7280801,"['Fred had always wanted to be a police officer.', 'Fred worked very hard to become one.', 'It was difficult.', 'Finally Fred was made a police officer.', 'Fred was proud to be a police officer.']",1
d29d5c14-4088-4c67-8a33-41dd856f981d,"['Tom was a rookie hiker who decided to hike by himself.', 'Tom was having a great time on a hike Tom had done many times.', 'Losing track of time, the sun went down, leaving Tom in darkness.', 'Tom was lost, because everything looked much different at night.', 'Eventually, Tom found his way home by following the north star.']",1
22c8b3ea-4ea1-474a-a01d-944f7ef615ea,"['Emily put a for sale sign on her old car.', 'Within hours Emily got several phone calls about it.', 'After a couple test drives nobody was offering Emily enough money.', 'Emily was ready to give up when someone offered Emily the right amount.', 'Now Emily has enough money to buy a new car.']",1
7c63a409-e69b-4473-8277-aaab8d3ccc72,"['Emma was letting her toddler play with an heirloom book.', ""Suddenly, Emma's toddler swiped the book with a marker."", 'A big blue mark went across the page.', ""Emma was so worried that Emma's book was permanently ruined."", 'Luckily, the marker came off with a wet cloth.']",1
831e4044-41dc-410d-9cb9-6a9913b0394c,"['May needed to lose a lot  of weight.', ""May tried dieting, but couldn't stay motivated."", 'Then May joined a fitness group.', 'The group gave May support and encouragement.', ""With May's help, May lost forty pounds!""]",1
049925bd-c3a2-47d2-b034-f01b205ca7f2,"['Jenna was on her way home from a trip.', 'Jenna wanted to get home to her boyfriend quickly.', ""Jenna's sister wanted to stop at the space museum, though."", 'Jenna impatiently waited as her sister looked through the museum.', 'Finally, Jenna and her sister got back on the road and went home.']",1
cf9cb870-014a-4278-8dce-d6bacfca2439,"['Bobby was at a fast food restaurant.', 'Bobby poured ketchup from the dispenser.', 'The ketchup was rancid.', 'Bobby threw the ketchup away.', 'Bobby went up to the counter and asked for ketchup packets.']",1
46ac9f05-06cd-49b1-890c-914ac0408a07,"['Tom was at the mall.', 'Tom went into a store and the alarm went off.', 'Something Tom was wearing set it off.', 'On the way out an employee asked Tom some questions.', ""It was clear Tom hadn't stolen and Tom went on Tom's way.""]",1
0fed5532-f40a-42c5-8772-49b00177dad5,"['Linah worked at Starbucks.', ""Linah was expecting Linah's first child."", ""Linah didn't mind working while pregnant."", 'Once the baby was born Linah wanted to be a stay at home mother.', ""Linah quit her job and Linah's husband picked up another job.""]",1
a6e58095-7a9e-40ac-85c7-11d552594b4c,"[""Bob and Karen weren't sure what to do on a Fall Friday evening."", 'Since the big game was the next day, Bob and Karen wanted an early night.', 'Bob and Karen decided to check out downtown to see what was happening.', ""At Bob and Karen's surprise, there were a ton of cars downtown!"", 'There wound up being a huge event downtown for Bob and Karen to do!']",1
2e857a23-5d1e-48b7-8f8e-da934ff88d41,"['Amber loved potato chips.', ""Amber couldn't resist eating a bag everyday."", 'Amber had gained twenty pounds from eating potato chips.', 'Amber stopped eating the chips.', ""Amber still couldn't loss the weight though.""]",1
06748962-c82f-42fd-a393-aa45bac5a4b4,"[""Katie's mom had twins when Katie was four."", 'At first Katie hated the twins!', 'Katie was always being asked to help out.', 'Katie felt abandoned.', 'But soon enough, Katie grew to love her baby sisters!']",1
9e38bc03-5f4d-428a-8538-7ed68b66d20e,"['Graham put his new product idea on a crowdfunding site.', ""Graham raised five thousand dollars for Graham's product idea."", 'Graham delivered the first of his new product to his customers.', 'Graham got sued for product infringement.', ""Graham lost all of Graham's money in the lawsuit.""]",1
76814040-821c-4a6e-ac2e-ff2aa4e925fa,"['Bryan is in the third grade.', 'Bryan does not listen to his parents.', 'Since Bryan always refuses to do his homework Bryan is behind in school.', 'Bryan now has to go to a tutor every night.', ""Bryan has now learned how to do Bryan's math.""]",1
af933ee9-3453-445b-8f66-fbbe534bc986,"['Chris had been agoraphobic for years.', 'Chris had a special worker from the state come and bring Chris things.', 'Chris became friends and the special worker encouraged Chris to go outside again.', 'When Chris tried it Chris was amazed at how bright it was outside.', 'Chris promised his worker he would try it more.']",1
